key_resp.keys,key_resp.rt,slider.response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,scenario,Initialer (f.eks. TP):,Alder (f.eks. 20 ):,Køn (mand/kvinde/andet):,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt
space,12.467,7,0,0,0,18,1,stim_MN09.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",MBMN,20,kvinde,2021-05-06_15h11.04.981,theaoglinaexperiment,2021.1.4,MacIntel,62.5,IwAR3h3HfLXAPHNTcqQL21qMxiWnkEyrJTmWqG03L8zGpXWT3Zbml2WouzqAo,,
,,7,0,1,1,24,1,stim_WJ05.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,MBMN,20,kvinde,2021-05-06_15h11.04.981,theaoglinaexperiment,2021.1.4,MacIntel,62.5,IwAR3h3HfLXAPHNTcqQL21qMxiWnkEyrJTmWqG03L8zGpXWT3Zbml2WouzqAo,,
,,7,0,2,2,34,1,stim_WN05.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",MBMN,20,kvinde,2021-05-06_15h11.04.981,theaoglinaexperiment,2021.1.4,MacIntel,62.5,IwAR3h3HfLXAPHNTcqQL21qMxiWnkEyrJTmWqG03L8zGpXWT3Zbml2WouzqAo,,
,,3,0,3,3,8,1,stim_MJ09.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,MBMN,20,kvinde,2021-05-06_15h11.04.981,theaoglinaexperiment,2021.1.4,MacIntel,62.5,IwAR3h3HfLXAPHNTcqQL21qMxiWnkEyrJTmWqG03L8zGpXWT3Zbml2WouzqAo,,
,,5,0,4,4,2,1,stim_MJ03.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",MBMN,20,kvinde,2021-05-06_15h11.04.981,theaoglinaexperiment,2021.1.4,MacIntel,62.5,IwAR3h3HfLXAPHNTcqQL21qMxiWnkEyrJTmWqG03L8zGpXWT3Zbml2WouzqAo,,
,,8,0,5,5,9,1,stim_MJ10.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",MBMN,20,kvinde,2021-05-06_15h11.04.981,theaoglinaexperiment,2021.1.4,MacIntel,62.5,IwAR3h3HfLXAPHNTcqQL21qMxiWnkEyrJTmWqG03L8zGpXWT3Zbml2WouzqAo,,
,,5,0,6,6,0,1,stim_MJ01.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,MBMN,20,kvinde,2021-05-06_15h11.04.981,theaoglinaexperiment,2021.1.4,MacIntel,62.5,IwAR3h3HfLXAPHNTcqQL21qMxiWnkEyrJTmWqG03L8zGpXWT3Zbml2WouzqAo,,
,,7,0,7,7,15,1,stim_MN06.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,MBMN,20,kvinde,2021-05-06_15h11.04.981,theaoglinaexperiment,2021.1.4,MacIntel,62.5,IwAR3h3HfLXAPHNTcqQL21qMxiWnkEyrJTmWqG03L8zGpXWT3Zbml2WouzqAo,,
,,3,0,8,8,4,1,stim_MJ05.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,MBMN,20,kvinde,2021-05-06_15h11.04.981,theaoglinaexperiment,2021.1.4,MacIntel,62.5,IwAR3h3HfLXAPHNTcqQL21qMxiWnkEyrJTmWqG03L8zGpXWT3Zbml2WouzqAo,,
,,5,0,9,9,7,1,stim_MJ08.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,MBMN,20,kvinde,2021-05-06_15h11.04.981,theaoglinaexperiment,2021.1.4,MacIntel,62.5,IwAR3h3HfLXAPHNTcqQL21qMxiWnkEyrJTmWqG03L8zGpXWT3Zbml2WouzqAo,,
