key_resp.keys,key_resp.rt,slider.response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,scenario,Initialer (f.eks. TP):,Alder (f.eks. 20 ):,Køn (mand/kvinde/andet):,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt
,,8,0,13,13,18,1,stim_MN09.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,8,0,14,14,1,1,stim_MJ02.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,8,0,15,15,34,1,stim_WN05.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,7,0,16,16,27,1,stim_WJ08.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,8,0,17,17,22,1,stim_WJ03.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,5,0,18,18,32,1,stim_WN03.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,6,0,19,19,7,1,stim_MJ08.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,7,0,20,20,5,1,stim_MJ06.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,6,0,21,21,24,1,stim_WJ05.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,7,0,22,22,35,1,stim_WN06.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,5,0,23,23,12,1,stim_MN03.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,6,0,24,24,23,1,stim_WJ04.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,8,0,25,25,30,1,stim_WN01.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,8,0,26,26,29,1,stim_WJ10.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,7,0,27,27,37,1,stim_WN08.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,7,0,28,28,13,1,stim_MN04.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,7,0,29,29,19,1,stim_MN10.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,5,0,30,30,0,1,stim_MJ01.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,7,0,31,31,11,1,stim_MN02.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,5,0,32,32,36,1,stim_WN07.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,6,0,33,33,39,1,stim_WN10.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,8,0,34,34,26,1,stim_WJ07.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,8,0,35,35,21,1,stim_WJ02.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,7,0,36,36,15,1,stim_MN06.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,6,0,37,37,8,1,stim_MJ09.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,8,0,38,38,10,1,stim_MN01.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,8,0,39,39,6,1,stim_MJ07.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,,
,,,,,,,,,,KMB,24,kvinde,2021-05-06_12h12.47.136,theaoglinaexperiment,2021.1.4,MacIntel,59.84082341,IwAR0mGLm-Te0g8DGdSSlOMYADO7LKmVQyqCedWy6zDynwe6MEr_BSLtu0ymg,q,7.243855
