key_resp.keys,key_resp.rt,slider.response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,scenario,Initialer (f.eks. TP):,Alder (f.eks. 20 ):,Køn (mand/kvinde/andet):,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt
space,13.043,8,0,0,0,33,1,stim_WN04.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",SK,21,Kvinde,2021-05-12_21h18.34.526,theaoglinaexperiment,2021.1.4,MacIntel,62.5,IwAR06vrWkZBPPW5ECzkxBQrZ4OidiBXZFDNYoBrWDKtjXRpZZC58xO5w41uo,,
,,8,0,1,1,29,1,stim_WJ10.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",SK,21,Kvinde,2021-05-12_21h18.34.526,theaoglinaexperiment,2021.1.4,MacIntel,62.5,IwAR06vrWkZBPPW5ECzkxBQrZ4OidiBXZFDNYoBrWDKtjXRpZZC58xO5w41uo,,
,,8,0,2,2,14,1,stim_MN05.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",SK,21,Kvinde,2021-05-12_21h18.34.526,theaoglinaexperiment,2021.1.4,MacIntel,62.5,IwAR06vrWkZBPPW5ECzkxBQrZ4OidiBXZFDNYoBrWDKtjXRpZZC58xO5w41uo,,
,,8,0,3,3,28,1,stim_WJ09.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,SK,21,Kvinde,2021-05-12_21h18.34.526,theaoglinaexperiment,2021.1.4,MacIntel,62.5,IwAR06vrWkZBPPW5ECzkxBQrZ4OidiBXZFDNYoBrWDKtjXRpZZC58xO5w41uo,,
,,8,0,4,4,17,1,stim_MN08.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",SK,21,Kvinde,2021-05-12_21h18.34.526,theaoglinaexperiment,2021.1.4,MacIntel,62.5,IwAR06vrWkZBPPW5ECzkxBQrZ4OidiBXZFDNYoBrWDKtjXRpZZC58xO5w41uo,,
,,8,0,5,5,6,1,stim_MJ07.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",SK,21,Kvinde,2021-05-12_21h18.34.526,theaoglinaexperiment,2021.1.4,MacIntel,62.5,IwAR06vrWkZBPPW5ECzkxBQrZ4OidiBXZFDNYoBrWDKtjXRpZZC58xO5w41uo,,
,,8,0,6,6,32,1,stim_WN03.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,SK,21,Kvinde,2021-05-12_21h18.34.526,theaoglinaexperiment,2021.1.4,MacIntel,62.5,IwAR06vrWkZBPPW5ECzkxBQrZ4OidiBXZFDNYoBrWDKtjXRpZZC58xO5w41uo,,
,,8,0,7,7,24,1,stim_WJ05.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,SK,21,Kvinde,2021-05-12_21h18.34.526,theaoglinaexperiment,2021.1.4,MacIntel,62.5,IwAR06vrWkZBPPW5ECzkxBQrZ4OidiBXZFDNYoBrWDKtjXRpZZC58xO5w41uo,,
,,8,0,8,8,0,1,stim_MJ01.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,SK,21,Kvinde,2021-05-12_21h18.34.526,theaoglinaexperiment,2021.1.4,MacIntel,62.5,IwAR06vrWkZBPPW5ECzkxBQrZ4OidiBXZFDNYoBrWDKtjXRpZZC58xO5w41uo,,
,,8,0,9,9,35,1,stim_WN06.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,SK,21,Kvinde,2021-05-12_21h18.34.526,theaoglinaexperiment,2021.1.4,MacIntel,62.5,IwAR06vrWkZBPPW5ECzkxBQrZ4OidiBXZFDNYoBrWDKtjXRpZZC58xO5w41uo,,
,,8,0,10,10,7,1,stim_MJ08.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,SK,21,Kvinde,2021-05-12_21h18.34.526,theaoglinaexperiment,2021.1.4,MacIntel,62.5,IwAR06vrWkZBPPW5ECzkxBQrZ4OidiBXZFDNYoBrWDKtjXRpZZC58xO5w41uo,,
,,8,0,11,11,38,1,stim_WN09.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",SK,21,Kvinde,2021-05-12_21h18.34.526,theaoglinaexperiment,2021.1.4,MacIntel,62.5,IwAR06vrWkZBPPW5ECzkxBQrZ4OidiBXZFDNYoBrWDKtjXRpZZC58xO5w41uo,,
