key_resp.keys,key_resp.rt,slider.response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,scenario,Initialer (f.eks. TP):,Alder (f.eks. 20 ):,Køn (mand/kvinde/andet):,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt
space,28.704,6,0,0,0,21,1,stim_WJ02.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",ASS,21,Kvinde,2021-05-08_19h38.31.320,theaoglinaexperiment,2021.1.4,MacIntel,142.8571429,IwAR3_dfddDhDGAzs_2-F0RmbtSZjGrm907-I2aR0yfRO0f2zq7CLKZiq0rSU,,
,,6,0,1,1,18,1,stim_MN09.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",ASS,21,Kvinde,2021-05-08_19h38.31.320,theaoglinaexperiment,2021.1.4,MacIntel,142.8571429,IwAR3_dfddDhDGAzs_2-F0RmbtSZjGrm907-I2aR0yfRO0f2zq7CLKZiq0rSU,,
,,6,0,2,2,33,1,stim_WN04.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",ASS,21,Kvinde,2021-05-08_19h38.31.320,theaoglinaexperiment,2021.1.4,MacIntel,142.8571429,IwAR3_dfddDhDGAzs_2-F0RmbtSZjGrm907-I2aR0yfRO0f2zq7CLKZiq0rSU,,
,,5,0,3,3,9,1,stim_MJ10.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",ASS,21,Kvinde,2021-05-08_19h38.31.320,theaoglinaexperiment,2021.1.4,MacIntel,142.8571429,IwAR3_dfddDhDGAzs_2-F0RmbtSZjGrm907-I2aR0yfRO0f2zq7CLKZiq0rSU,,
,,5,0,4,4,31,1,stim_WN02.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,ASS,21,Kvinde,2021-05-08_19h38.31.320,theaoglinaexperiment,2021.1.4,MacIntel,142.8571429,IwAR3_dfddDhDGAzs_2-F0RmbtSZjGrm907-I2aR0yfRO0f2zq7CLKZiq0rSU,,
,,5,0,5,5,34,1,stim_WN05.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",ASS,21,Kvinde,2021-05-08_19h38.31.320,theaoglinaexperiment,2021.1.4,MacIntel,142.8571429,IwAR3_dfddDhDGAzs_2-F0RmbtSZjGrm907-I2aR0yfRO0f2zq7CLKZiq0rSU,,
,,6,0,6,6,4,1,stim_MJ05.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,ASS,21,Kvinde,2021-05-08_19h38.31.320,theaoglinaexperiment,2021.1.4,MacIntel,142.8571429,IwAR3_dfddDhDGAzs_2-F0RmbtSZjGrm907-I2aR0yfRO0f2zq7CLKZiq0rSU,,
,,6,0,7,7,20,1,stim_WJ01.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,ASS,21,Kvinde,2021-05-08_19h38.31.320,theaoglinaexperiment,2021.1.4,MacIntel,142.8571429,IwAR3_dfddDhDGAzs_2-F0RmbtSZjGrm907-I2aR0yfRO0f2zq7CLKZiq0rSU,,
,,6,0,8,8,36,1,stim_WN07.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,ASS,21,Kvinde,2021-05-08_19h38.31.320,theaoglinaexperiment,2021.1.4,MacIntel,142.8571429,IwAR3_dfddDhDGAzs_2-F0RmbtSZjGrm907-I2aR0yfRO0f2zq7CLKZiq0rSU,,
,,6,0,9,9,11,1,stim_MN02.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,ASS,21,Kvinde,2021-05-08_19h38.31.320,theaoglinaexperiment,2021.1.4,MacIntel,142.8571429,IwAR3_dfddDhDGAzs_2-F0RmbtSZjGrm907-I2aR0yfRO0f2zq7CLKZiq0rSU,,
,,7,0,10,10,24,1,stim_WJ05.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,ASS,21,Kvinde,2021-05-08_19h38.31.320,theaoglinaexperiment,2021.1.4,MacIntel,142.8571429,IwAR3_dfddDhDGAzs_2-F0RmbtSZjGrm907-I2aR0yfRO0f2zq7CLKZiq0rSU,,
,,5,0,11,11,12,1,stim_MN03.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,ASS,21,Kvinde,2021-05-08_19h38.31.320,theaoglinaexperiment,2021.1.4,MacIntel,142.8571429,IwAR3_dfddDhDGAzs_2-F0RmbtSZjGrm907-I2aR0yfRO0f2zq7CLKZiq0rSU,,
,,4,0,12,12,30,1,stim_WN01.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",ASS,21,Kvinde,2021-05-08_19h38.31.320,theaoglinaexperiment,2021.1.4,MacIntel,142.8571429,IwAR3_dfddDhDGAzs_2-F0RmbtSZjGrm907-I2aR0yfRO0f2zq7CLKZiq0rSU,,
,,5,0,13,13,8,1,stim_MJ09.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,ASS,21,Kvinde,2021-05-08_19h38.31.320,theaoglinaexperiment,2021.1.4,MacIntel,142.8571429,IwAR3_dfddDhDGAzs_2-F0RmbtSZjGrm907-I2aR0yfRO0f2zq7CLKZiq0rSU,,
,,6,0,14,14,35,1,stim_WN06.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,ASS,21,Kvinde,2021-05-08_19h38.31.320,theaoglinaexperiment,2021.1.4,MacIntel,142.8571429,IwAR3_dfddDhDGAzs_2-F0RmbtSZjGrm907-I2aR0yfRO0f2zq7CLKZiq0rSU,,
,,5,0,15,15,14,1,stim_MN05.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",ASS,21,Kvinde,2021-05-08_19h38.31.320,theaoglinaexperiment,2021.1.4,MacIntel,142.8571429,IwAR3_dfddDhDGAzs_2-F0RmbtSZjGrm907-I2aR0yfRO0f2zq7CLKZiq0rSU,,
