key_resp.keys,key_resp.rt,slider.response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,scenario,Initialer (f.eks. TP):,Alder (f.eks. 20 ):,Køn (mand/kvinde/andet):,date,expName,psychopyVersion,OS,frameRate,fbclid,key_resp_2.keys,key_resp_2.rt
space,52.364695,8,0,0,0,33,1,stim_WN04.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",AM,22,Kvinde,2021-05-07_15h31.40.481,theaoglinaexperiment,2021.1.4,MacIntel,60.0024001,IwAR0gts7J2CvMDycoT3wYw1yvY0xbwrmlCYPsw8Ufg7Afe4aHmCjiUvLfKZo,,
,,8,0,1,1,29,1,stim_WJ10.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",AM,22,Kvinde,2021-05-07_15h31.40.481,theaoglinaexperiment,2021.1.4,MacIntel,60.0024001,IwAR0gts7J2CvMDycoT3wYw1yvY0xbwrmlCYPsw8Ufg7Afe4aHmCjiUvLfKZo,,
,,3,0,2,2,4,1,stim_MJ05.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,AM,22,Kvinde,2021-05-07_15h31.40.481,theaoglinaexperiment,2021.1.4,MacIntel,60.0024001,IwAR0gts7J2CvMDycoT3wYw1yvY0xbwrmlCYPsw8Ufg7Afe4aHmCjiUvLfKZo,,
,,7,0,3,3,26,1,stim_WJ07.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",AM,22,Kvinde,2021-05-07_15h31.40.481,theaoglinaexperiment,2021.1.4,MacIntel,60.0024001,IwAR0gts7J2CvMDycoT3wYw1yvY0xbwrmlCYPsw8Ufg7Afe4aHmCjiUvLfKZo,,
,,6,0,4,4,1,1,stim_MJ02.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",AM,22,Kvinde,2021-05-07_15h31.40.481,theaoglinaexperiment,2021.1.4,MacIntel,60.0024001,IwAR0gts7J2CvMDycoT3wYw1yvY0xbwrmlCYPsw8Ufg7Afe4aHmCjiUvLfKZo,,
,,7,0,5,5,11,1,stim_MN02.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,AM,22,Kvinde,2021-05-07_15h31.40.481,theaoglinaexperiment,2021.1.4,MacIntel,60.0024001,IwAR0gts7J2CvMDycoT3wYw1yvY0xbwrmlCYPsw8Ufg7Afe4aHmCjiUvLfKZo,,
,,7,0,6,6,17,1,stim_MN08.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",AM,22,Kvinde,2021-05-07_15h31.40.481,theaoglinaexperiment,2021.1.4,MacIntel,60.0024001,IwAR0gts7J2CvMDycoT3wYw1yvY0xbwrmlCYPsw8Ufg7Afe4aHmCjiUvLfKZo,,
,,7,0,7,7,38,1,stim_WN09.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",AM,22,Kvinde,2021-05-07_15h31.40.481,theaoglinaexperiment,2021.1.4,MacIntel,60.0024001,IwAR0gts7J2CvMDycoT3wYw1yvY0xbwrmlCYPsw8Ufg7Afe4aHmCjiUvLfKZo,,
,,5,0,8,8,28,1,stim_WJ09.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,AM,22,Kvinde,2021-05-07_15h31.40.481,theaoglinaexperiment,2021.1.4,MacIntel,60.0024001,IwAR0gts7J2CvMDycoT3wYw1yvY0xbwrmlCYPsw8Ufg7Afe4aHmCjiUvLfKZo,,
,,6,0,9,9,13,1,stim_MN04.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",AM,22,Kvinde,2021-05-07_15h31.40.481,theaoglinaexperiment,2021.1.4,MacIntel,60.0024001,IwAR0gts7J2CvMDycoT3wYw1yvY0xbwrmlCYPsw8Ufg7Afe4aHmCjiUvLfKZo,,
