key_resp.keys,key_resp.rt,slider.response,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stimuli,scenario,Initialer (f.eks. TP):,Alder (f.eks. 20 ):,Køn (mand/kvinde/andet):,date,expName,psychopyVersion,OS,frameRate,fbclid
,,6,0,13,13,29,1,stim_WJ10.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",TK,21,Mand,2021-05-10_20h17.06.843,theaoglinaexperiment,2021.1.4,MacIntel,43.47826087,IwAR3oD_PRrcXFRqw8cnq3Z7-ZxaNPDUrw9LRpr1jUe14e8YD9vWajlLpfFDI
,,5,0,14,14,8,1,stim_MJ09.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,TK,21,Mand,2021-05-10_20h17.06.843,theaoglinaexperiment,2021.1.4,MacIntel,43.47826087,IwAR3oD_PRrcXFRqw8cnq3Z7-ZxaNPDUrw9LRpr1jUe14e8YD9vWajlLpfFDI
,,6,0,15,15,23,1,stim_WJ04.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,TK,21,Mand,2021-05-10_20h17.06.843,theaoglinaexperiment,2021.1.4,MacIntel,43.47826087,IwAR3oD_PRrcXFRqw8cnq3Z7-ZxaNPDUrw9LRpr1jUe14e8YD9vWajlLpfFDI
,,6,0,16,16,22,1,stim_WJ03.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",TK,21,Mand,2021-05-10_20h17.06.843,theaoglinaexperiment,2021.1.4,MacIntel,43.47826087,IwAR3oD_PRrcXFRqw8cnq3Z7-ZxaNPDUrw9LRpr1jUe14e8YD9vWajlLpfFDI
,,5,0,17,17,26,1,stim_WJ07.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",TK,21,Mand,2021-05-10_20h17.06.843,theaoglinaexperiment,2021.1.4,MacIntel,43.47826087,IwAR3oD_PRrcXFRqw8cnq3Z7-ZxaNPDUrw9LRpr1jUe14e8YD9vWajlLpfFDI
,,5,0,18,18,36,1,stim_WN07.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,TK,21,Mand,2021-05-10_20h17.06.843,theaoglinaexperiment,2021.1.4,MacIntel,43.47826087,IwAR3oD_PRrcXFRqw8cnq3Z7-ZxaNPDUrw9LRpr1jUe14e8YD9vWajlLpfFDI
,,7,0,19,19,18,1,stim_MN09.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",TK,21,Mand,2021-05-10_20h17.06.843,theaoglinaexperiment,2021.1.4,MacIntel,43.47826087,IwAR3oD_PRrcXFRqw8cnq3Z7-ZxaNPDUrw9LRpr1jUe14e8YD9vWajlLpfFDI
,,6,0,20,20,31,1,stim_WN02.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,TK,21,Mand,2021-05-10_20h17.06.843,theaoglinaexperiment,2021.1.4,MacIntel,43.47826087,IwAR3oD_PRrcXFRqw8cnq3Z7-ZxaNPDUrw9LRpr1jUe14e8YD9vWajlLpfFDI
,,6,0,21,21,33,1,stim_WN04.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",TK,21,Mand,2021-05-10_20h17.06.843,theaoglinaexperiment,2021.1.4,MacIntel,43.47826087,IwAR3oD_PRrcXFRqw8cnq3Z7-ZxaNPDUrw9LRpr1jUe14e8YD9vWajlLpfFDI
,,7,0,22,22,15,1,stim_MN06.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,TK,21,Mand,2021-05-10_20h17.06.843,theaoglinaexperiment,2021.1.4,MacIntel,43.47826087,IwAR3oD_PRrcXFRqw8cnq3Z7-ZxaNPDUrw9LRpr1jUe14e8YD9vWajlLpfFDI
,,5,0,23,23,1,1,stim_MJ02.jpg,"Denne person sælger et møbel på Den Blå Avis, som du gerne vil købe. Personen siger, at du kan få det, hvis du har mulighed for at hente det på deres private adresse. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?",TK,21,Mand,2021-05-10_20h17.06.843,theaoglinaexperiment,2021.1.4,MacIntel,43.47826087,IwAR3oD_PRrcXFRqw8cnq3Z7-ZxaNPDUrw9LRpr1jUe14e8YD9vWajlLpfFDI
,,6,0,24,24,19,1,stim_MN10.jpg,Du skal have foretaget en knæoperation under fuld narkose. Personen på billedet er lægen som skal foretage operationen. Hvor tilbøjelig er du til at stole på personen på billedet til at foretage operationen?,TK,21,Mand,2021-05-10_20h17.06.843,theaoglinaexperiment,2021.1.4,MacIntel,43.47826087,IwAR3oD_PRrcXFRqw8cnq3Z7-ZxaNPDUrw9LRpr1jUe14e8YD9vWajlLpfFDI
,,6,0,25,25,20,1,stim_WJ01.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,TK,21,Mand,2021-05-10_20h17.06.843,theaoglinaexperiment,2021.1.4,MacIntel,43.47826087,IwAR3oD_PRrcXFRqw8cnq3Z7-ZxaNPDUrw9LRpr1jUe14e8YD9vWajlLpfFDI
,,7,0,26,26,12,1,stim_MN03.jpg,Du går alene på gaden om aftenen. Personen på billedet kommer op til dig og vil stille dig et spørgsmål. Hvor tilbøjelig er du til at stole på personen på billedet i denne situation?,TK,21,Mand,2021-05-10_20h17.06.843,theaoglinaexperiment,2021.1.4,MacIntel,43.47826087,IwAR3oD_PRrcXFRqw8cnq3Z7-ZxaNPDUrw9LRpr1jUe14e8YD9vWajlLpfFDI
,,8,0,27,27,10,1,stim_MN01.jpg,"Du kan ikke selv løse en matematisk opgave, og du er derfor nødt til at spørge om hjælp. Hvor tilbøjelig er du til stole på at personen på billedet kan hjælpe dig med opgaven?",TK,21,Mand,2021-05-10_20h17.06.843,theaoglinaexperiment,2021.1.4,MacIntel,43.47826087,IwAR3oD_PRrcXFRqw8cnq3Z7-ZxaNPDUrw9LRpr1jUe14e8YD9vWajlLpfFDI
